Threshold,Old Bits,New Bits,Compression Ratio,BPV,PSNR_data,SSIM,FSIM,MS-SSIM,PSNR_img,VSI,SR-SIM,MS-GMSD,MDSI,DSS,IW-SSIM,FILE_image_path
40,536870912,451280,1189.66,0.0268984,40.1535,0.9353378415,0.9680900574,0.9531874657,33.12296295,0.9853290319,0.9360024929,0.07210671902,0.3034823239,0.7163712978,0.7548131943,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_40tthresh.png
41,536870912,542224,990.128,0.0323191,41.1975,0.9501096606,0.9750804305,0.9644031525,34.32224655,0.9887086749,0.9561637044,0.06110725552,0.2847003341,0.7833349109,0.8096622229,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_41tthresh.png
42,536870912,671696,799.277,0.0400362,42.2603,0.9573147893,0.9784303308,0.9696885943,35.02661896,0.9905776381,0.9644179344,0.05389128998,0.2733370364,0.8163022995,0.83888942,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_42tthresh.png
43,536870912,944848,568.209,0.0563173,43.3073,0.9680161476,0.9839484692,0.9774892926,36.48311615,0.993047595,0.9772868156,0.04458510503,0.2542541623,0.8601767421,0.8753156066,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_43tthresh.png
44,536870912,1323728,405.575,0.0789003,44.3749,0.9756615758,0.9878973961,0.9829378724,37.71156311,0.9947189689,0.9834139943,0.03696350381,0.2373414934,0.8943225741,0.9044676423,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_44tthresh.png
45,536870912,1215184,441.802,0.0724306,45.2518,0.9780402184,0.9892416596,0.9847556949,38.2613678,0.9954841733,0.9864410162,0.03280131891,0.2294857502,0.9055426121,0.9154911041,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_45tthresh.png
46,536870912,1739024,308.72,0.103654,46.4768,0.9836992621,0.9921928048,0.9887316823,39.73440552,0.996794045,0.9900435805,0.02669265307,0.2125381082,0.9303922057,0.9365215898,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_46tthresh.png
47,536870912,2278544,235.62,0.135812,47.4849,0.9877624512,0.9943104982,0.9915547967,40.95886612,0.9976555109,0.9926120639,0.02143324912,0.1952454895,0.9485818148,0.9523345828,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_47tthresh.png
48,536870912,4043152,132.785,0.240991,48.6566,0.9902108312,0.995382309,0.9931252003,42.12984085,0.9981782436,0.9945222139,0.01780362055,0.1847358942,0.9584749341,0.9613156319,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_48tthresh.png
49,536870912,2903120,184.929,0.173039,49.6845,0.9919507504,0.9963445663,0.9943382144,43.07577515,0.9985975027,0.9955958724,0.01485354267,0.1748926044,0.9659736753,0.968362391,compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_49tthresh.png
