Threshold,Old Bits,New Bits,Compression Ratio,BPV,PSNR,Compressed File,Decompressed File,image_path
30,536870912,95312,5632.77,0.00568104,33.967,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_30tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_30tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_30tthresh.png
31,536870912,95312,5632.77,0.00568104,33.967,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_31tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_31tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_31tthresh.png
32,536870912,95312,5632.77,0.00568104,33.967,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_32tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_32tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_32tthresh.png
33,536870912,95312,5632.77,0.00568104,33.967,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_33tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_33tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_33tthresh.png
34,536870912,5392,99568.0,0.000321388,33.8983,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_34tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_34tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_34tthresh.png
35,536870912,30288,17725.5,0.00180531,34.7187,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_35tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_35tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_35tthresh.png
36,536870912,74192,7236.24,0.00442219,35.7224,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_36tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_36tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_36tthresh.png
37,536870912,119312,4499.72,0.00711155,36.7808,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_37tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_37tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_37tthresh.png
38,536870912,208400,2576.16,0.0124216,37.9488,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_38tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_38tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_38tthresh.png
39,536870912,275728,1947.1,0.0164347,39.0657,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_39tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_39tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_39tthresh.png
40,536870912,451280,1189.66,0.0268984,40.1535,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_40tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_40tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_40tthresh.png
41,536870912,542224,990.128,0.0323191,41.1975,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_41tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_41tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_41tthresh.png
42,536870912,671696,799.277,0.0400362,42.2603,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_compressed_psnr_42tthresh.raw,/Users/yetchi/Desktop/analysis/compressed_data/isotropic_turbulence/tacc_turbulence_256x256x256_float32_decompressed_psnr_42tthresh.raw,/Users/yetchi/Desktop/analysis/images/compressed_tthresh/tacc_turbulence_256x256x256_float32_decompressed_psnr_42tthresh.png
